Day,Time (EDT),Location,Event,Speaker,Slides / Notes,Recording
Monday,09:00–09:30,Room 1 or Lounge,Coffee & Arrival,N/A,,
Monday,09:30–10:00,Room 1,Welcome & Overview,Sarcevic & Troxel,,
Monday,10:00–11:00,Room 1,Brief Introductions,all,,
Monday,11:00–11:30,Room 1,Observations Overview,TBA,,
Monday,11:30–12:30,Room 1,Flash Talks: Observational Inputs,,,
Monday,12:30–13:30,Hallway,Lunch,N/A,,
Monday,13:30–14:30,Room 1,Project Pitch Block I,TBA,,
Monday,14:30–17:00,Room 2 / Lounge / Terrace,Discussion + Team Formation,all,,
,,,,,,
Tuesday,09:00–09:30,Room 1,Coffee & Arrival,N/A,,
Tuesday,09:30–10:30,Room 1,Modeling Overview,TBA,,
Tuesday,10:30–11:30,Room 1,Flash Talks: Modeling Tools,TBA,,
Tuesday,11:30–12:30,Room 1,Breakout Planning,TBA,,
Tuesday,12:30–13:30,Hallway,Lunch,N/A,,
Tuesday,13:30–16:30,Rooms 1/2 + Terrace,Project Work & Breakouts,all,,
Tuesday,16:30–17:00,Room 1,Daily Tag-up,all,,
,,,,,,
Wednesday,09:00–09:30,Room 1,Coffee & Arrival,N/A,,
Wednesday,09:30–10:30,Room 1,Simulations Overview,TBA,,
Wednesday,10:30–11:30,Room 1,Flash Talks: Sim Tools,TBA,,
Wednesday,11:30–12:30,Room 1,Breakout Plan Update,TBA,,
Wednesday,12:30-12:35,Room 1,Group Photo!,all,,
Wednesday,12:35–13:30,Hallway,Lunch,N/A,,
Wednesday,13:30–16:30,Various,Work Time & Hack Sessions,all,,
Wednesday,16:30–17:00,Room 1,Tag-up,all,,
,,,,,,
Thursday,09:00–09:30,Room 1,Coffee & Arrival,N/A,,
Thursday,09:30–12:30,Various,Hack Day: Work & Breakouts,all,,
Thursday,12:30–13:30,Hallway,Lunch,N/A,,
Thursday,13:30–16:30,Various,Hack / Development Work,all,,
Thursday,16:30–17:00,Room 1,Tag-up,all,,
,,,,,,
Friday,09:00–09:30,Room 1,Coffee & Arrival,N/A,,
Friday,09:30–12:30,Room 1,Final Presentations / Wrap-up Work,TBA,,
Friday,12:30–13:30,Hallway,Lunch,N/A,,
Friday,13:30–15:00,Room 1,Long Tag-up: Summary & Future Planning,all,,
Friday,15:00–17:00,Various,Optional Work / Departure,N/A,,
